epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,12093.9,1.12567,0.43939,0.96,0.91122,0.83135,0.88613,0.34112,1.85003,0.74699,1.37805,0.000152,0.000152,0.000152
142,12183.4,1.20035,0.46881,0.99827,0.89821,0.84127,0.878,0.34057,1.84561,0.74828,1.37448,0.0001388,0.0001388,0.0001388
143,12271.9,1.16665,0.45396,1.01343,0.91283,0.82837,0.88446,0.34527,1.85725,0.80743,1.38198,0.0001256,0.0001256,0.0001256
144,12360.5,1.15038,0.44826,1.01699,0.91486,0.83234,0.88329,0.34067,1.86254,0.79602,1.38804,0.0001124,0.0001124,0.0001124
145,12443.6,1.21819,0.47874,1.03887,0.91349,0.82759,0.87881,0.33864,1.86712,0.80228,1.39739,9.92e-05,9.92e-05,9.92e-05
146,12526.9,1.18172,0.46698,1.01346,0.90771,0.82933,0.87571,0.33774,1.86122,0.75137,1.39317,8.6e-05,8.6e-05,8.6e-05
147,12610.2,1.19466,0.48376,1.00104,0.91325,0.8373,0.88302,0.33916,1.8549,0.7424,1.39404,7.28e-05,7.28e-05,7.28e-05
148,12693.1,1.16691,0.45068,1.00073,0.92061,0.83631,0.88028,0.34151,1.86342,0.74549,1.39453,5.96e-05,5.96e-05,5.96e-05
149,12775.5,1.14085,0.44273,0.96508,0.92044,0.83234,0.88327,0.34255,1.87221,0.76308,1.39868,4.64e-05,4.64e-05,4.64e-05
150,12858.7,1.13847,0.44327,0.97182,0.91527,0.82521,0.88053,0.34081,1.8781,0.76904,1.40204,3.32e-05,3.32e-05,3.32e-05
